No.1   Quite the stage setter.
No.182   This is how you write a sitcom
No.183   "And you want to be my latex salesman..."
No.184   The fun continues...
No.185   Classic Sitcom Riot
No.186   Lugie
No.187   "Kind of a cute Nazi, though"
No.188   "They can't shoot us in the city"
No.189   Further replicating the success of "The Chinese Restaurant" whilst adding its own touches
No.190   The best Seinfeld episode!
No.191   Obrien
No.192   Is this about Steve Bannon?
No.193   "Says he's O'Brien-- that's not funny"
No.194   "I'm gonna sew his ass to his face!"
No.195   Wow
No.196   adultery is funny????
No.197   "I don't get art"
No.198   Batter
No.199   "What did you do to my car?"
No.200   Boxing
No.201   Kramer the actor
No.202   "Do you yearn?"
No.203   Out of place
No.204   I love this episode.
No.205   Weakest Episode of this Season
No.206   La
No.207   The beginning of true greatness
No.208   The Smog strangler.
No.209   One of the all time worst
No.210   Crazy
No.211   Kramer the serial killer...
No.212   Kramer as a serial killer is hilarious!
No.213   Kramer as a serial killer!? I'm in!
No.214   Away
No.215   Was Clint Howard the Smog Strangler?
No.216   "Anne Landers sucks!"
No.217   The real beginning of Season 4
No.218   "You must have a good story"
No.219   The Pitch&The Ticket are both Classic episodes that I love, as they crack me up every time I watch them!
No.220   Ha ha
No.221   George: Yeah, but nothing happens on the show. Oh, no. No stories. No, no, no! Nothing happens!
No.222   To say that Wayne Knight steals the show in this episode is an understatement if ever there was one...
No.223   The madness continues
No.224   The Pitch&The Ticket are both Classic episodes,that I love, as they crack me up every time I watch them!
No.225   Newwwwwman
No.226   Family troubles
No.227   Easily on of the weakest in Season 4
No.228   The Wallet is a fantastic episode, that's very, very funny, the ending is funny but makes me shake my head all the time due to Morty's stupidity!
No.229   Cheap
No.230   Uncle Leo and Dr. Reston
No.231   Still didn't quite take off
No.232   The Watch is a fantastic episode, that's really quite hilarious, Jessica Lundy is a riot as the girl with the creepy laugh!
No.233   At last the 'arc' comes to an end
No.234   Tick
No.235   "He lives in a bubble!"
No.236   "That stupid idiot!"
No.237   The Bubble Boy is a true classic and one of my top 15 favorites on Seinfeld!, as it's simply one of the best ever in my opinion!
No.238   Pop
No.239   ".... and they're all laid out for me."
No.240   The Cheever Letters is a brilliant little episode, that always has me in stitches, as it has some of my favorite quotes in it!
No.241   "That's absolutely filthy"
No.242   Boo
No.243   Crazy Joe Davola
No.244   The Opera while not quite as good as the others in Season 4 is still an excellent episode that I love!
No.245   Much fun to be had around Crazy Joe Davola here
No.246   "I'm a day person"
No.247   Elaine: You know, it is so sad. All your knowledge of high culture comes from Bugs Bunny cartoons.
No.248   The opera is good
No.249   Ahhr
No.250   Pilots and virgins
No.251   "Russell?"
No.252   Sets Up The Contest
No.253   Wee
No.254   Juvenile theme
No.255   "I'm out!"
No.256   "Here, have some Tic-Tacs"
No.257   The greatest episode of Seinfeld
No.258   The Funniest
No.259   It has been called the #1 best episode in television history, and for good reason!
No.260   "Are You Master Of Your Domain?"
No.261   "somethings gotta give "
No.262   Greatest episode in TV history
No.263   He
No.264   Sitcom episode Story and Comedy Perfection
No.265   The definition of a Seinfeld Classic
No.266   Kennedy or Laguardia?
No.267   Great humor about airports and airplane travel
No.268   Have you ever flown first class?
No.269   Not one of the best but still a Seinfeld material.
No.270   Jerry and Elaine are traveling from St. Louis on their flight back to New York City. George and Kramer plan on picking them up at the airport due to George's bet with Jerry.
No.271   Blurb
No.272   This one sure picked me up.
No.273   Jerry picks his nose and Elaine sends out embarrassing Xmas cards!
No.274   Brilliant Parody of Shylock's Speech from Shakespeare's Merchant of Venice
No.275   "Was there any nostril penetration?"
No.276   Slip
No.277   Feels like territory covered many times in the past
No.278   "What a night"
No.279   best episode of season 4
No.280   Aw no
No.281   George Costanza strikes again and again
No.282   George is such an idiot.
No.283   "Happy birthday? No such thing"
No.284   Baseball
No.285   Everything about Seinfeld is perfect
No.286   Jerry Seinfeld: Looking at cleavage is like looking at the sun. You don't stare at it, it's too risky. You get a sense of it then you look away.
No.287   Elaine Reduced To A Sex Object & Works It For Humor!
No.288   Best sitcom ever.
No.289   "You never saw people so pleased"
No.290   Elaine reduced to sex object. No thanks.
No.291   Whoops
No.292   Other Reviewers Missing the Point
No.293   "They don't know what's going on"
No.294   One of the Best of the Best
No.295   A Script based upon a lot more than nothing
No.296   Funny
No.297   Lighten up already!
No.298   It is satire
No.299   Oil
No.300   "There's a void"
No.301   "It's like a sauna in here"
No.302   Double-dipped! I am definitely double-broken hearted that this best sitcom ever had to end one day.
No.303   Boing
No.304   Juvenile humor
No.305   Females may feel uncomfortable
No.306   Stupidity Is No Defense...
No.307   Those who have missed this one have missed a lot.
No.308   "Oh... You!"
No.309   Oh no
No.310   Cosmo Kramer: Who's gonna turn down a Junior Mint? It's chocolate, it's peppermint, it's delicious.
No.311   "It's the beast!"
No.312   Easter egg for George
No.313   Smelly
No.314   OK
No.315   What can be said about this one?
No.316   "It's like you're almost glad to be handicapped"
No.317   Tv
No.318   "The Pilot" is a great episode full of laughs
No.319   "Did he just stole the raisins?"
No.320   C.K.: I like his style. He has a sort of casual elegance. TIA: But he picks his nose. C.K.: Nevertheless...
No.321   Who took the Raisins?
No.322   Negative
